ref	value
C1	2200u 40V
C2	2200u 40V
C3	10u 40V
C4	10u 40V
C5	33n
C6	33n
C7	470
C8	2.2n
C9	220u 40V
C10	1n
C11	1n
C12	470
C13	220u 40V
D1	LM336
D2	BY399
D3	BY399
D4	BY399
D5	BY399
D6	6.8V 1W
D7	1N4148
D8	1N4148
D9	BAT65
D10	BAT65
IC1	DAC0832
IC2	LM324
IC3	LM7815
IC4	CNY17-2
IC5	CNY17-2
IC6	CNY17-2
IC7	CNY17-2
P1	2.2k
R1	10k
R2	30k
R3	2k
R4	2k
R5	1k
R6	27k
R7	2.2k
R8	68 1W
R9	330 1W
R10	47 1W
R11	2.2k
R12	3.9k
R13	1k
R14	4.7k
R15	3.6k
R16	1 5W
R17	1k
R18	2.2k
R19	3.9k
R20	47 1W
R21	330 1W
R22	68 1W
R23	10k
R24	2.7k
R25	4.7k
R26	4.7k
R27	3.6k
R28	1 5W
R29	3.3k
T1	BC547B
T2	BD140
T3	BD139
T4	TIP2955
T5	BC557B
T6	BD138
T7	BD140
T8	TIP3055
