ref	value
C1	220u 16V
C2	1n
C3	1n
C4	1u
C5	1000u 16V
C6	1n
C7	1n
C8	1u
C9	10u
C10	10u
C11	10u
C12	10u
C13	10u
C14	10u
C15	22u 200V
D1	1N4001
D2	1N4001
D3	1N4001
D4	1N4001
D5	1N4001
D6	1N4001
D7	BY399
D8	1N4001
D9	1N4001
D10	1N4001
D11	BY399
D12	BY399
D13	1N4001
D14	1N4001
D15	1N4001
D16	1N4001
D17	1N4001
D18	1N4001
IC1	7905
IC2	78S05
R1	470
T1	BC182
T2	BC301
