ref	value
C1	220u
C2	100n
C3	100n
C4	100n
D1	1N4148
D2	1N4148
D3	1N4148
D4	1N4148
D5	1N4148
D6	1N4148
D7	1N4148
D8	1N4148
D9	1N4148
D10	1N4148
D11	1N4148
D12	1N4148
D13	1N4148
D14	1N4148
D15	1N4148
IC1	74LS374
IC2	74LS138
IC3	74LS04
J1	Reed relay
JC1	SWITCH_INV
R1	1k
R2	1k
R3	1k
R4	1k
R5	1k
R6	1k
R7	1k
R8	1k
R9	1k
R10	1k
R11	1k
R12	1k
R13	1k
R14	1k
R15	1k
R16	1k
R17	1k
R18	1k
R19	1k
R20	1k
R21	1k
T1	BC109C
T2	BC109C
T3	BC109C
T4	BC109C
T5	BC109C
T6	BC109C
T7	BC109C
T8	BC109C
T9	BC109C
T10	BC109C
T11	BC109C
T12	BC109C
T13	BC109C
T14	BC109C
T15	BC109C
T16	BC182
T17	BC182
T18	BC182
T19	BC182
T20	BC182
